
🕒 2025-01-05 19:28:52+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-05 23:09:26+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-05 23:09:27+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-06 03:03:48+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 03:03:51+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 04:51:00+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-06 05:09:35+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-06 05:09:43+00:00: Anomalías en energyPerPreform_CurrentTemperatureBrake.2, numberOfActivatedRadiators_CurrentTemperatureBrake.2, powerPerPreform_CurrentTemperatureBrake.2
🕒 2025-01-06 06:18:37+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-06 06:18:38+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
